Feature,Mean Importance,Std Dev
avg_s_mass,0.9147081549070075,0.004312511245199069
bulge,0.0403565675561242,0.004087952297307225
bin_radii,0.022195691594884184,0.0029665243314027064
BHMass,0.008335360192663488,0.0016622988188187884
s_mass,0.006247421709853169,0.0014653046036365775
Mhalo,0.004594017113630907,0.0012960152772901322
overdens,0.003562786925836528,0.0009457453306035478
BH_AGN,0.0,0.0
