Feature,Mean Importance,Std Dev
avg_s_mass,0.9150835442384342,0.00492250946929598
bulge,0.038063965746134784,0.004220256244747848
bin_radii,0.022474233631643196,0.002533330173748197
BHMass,0.010355358552007251,0.0016831407787981877
s_mass,0.00626778100069519,0.0015969660042576177
Mhalo,0.004866177430408502,0.0006194531324075135
overdens,0.002888939400676872,0.0005792568912437796
