Feature,Mean Importance,Std Dev
avg_s_mass,0.68130064,0.025737355
bin_radii,0.08294415,0.010538561
s_mass,0.07700133,0.017821996
BHMass,0.066010684,0.020233354
overdens,0.0503801,0.011537806
Mhalo,0.042363167,0.01098425
