Feature,Mean Importance,Std Dev
avg_s_mass,0.67429173,0.021133134
BHMass,0.12934804,0.0066017387
bin_radii,0.11750815,0.017563425
s_mass,0.07179393,0.01174702
overdens,0.0039047156,0.006065373
Mhalo,0.0031534228,0.005950341
