Feature,Mean Importance,Std Dev
avg_s_mass,0.6077816,0.06759826
BHMass,0.3332042,0.05071277
s_mass,0.03303272,0.06637661
bin_radii,0.018123828,0.054371487
overdens,0.007857678,0.023573035
Mhalo,0.0,0.0
