Feature,Mean Importance,Std Dev
avg_s_mass,0.48961553,0.025156228
bin_radii,0.20261605,0.040367488
BHMass,0.14658783,0.011838877
s_mass,0.08074339,0.019901697
overdens,0.044263206,0.012898754
Mhalo,0.03617402,0.012552796
