Feature,Mean Importance,Std Dev
Mhalo,0.62612164,0.055112083
BHMass,0.3351673,0.03744433
overdens,0.018686365,0.03991885
s_mass,0.013600382,0.027496772
avg_s_mass,0.006424266,0.019272797
bin_radii,0.0,0.0
