Feature,Mean Importance,Std Dev
BHMass,0.5145518,0.024042126
avg_s_mass,0.1362503,0.0071227457
s_mass,0.12042083,0.007823354
overdens,0.09121341,0.022773651
bin_radii,0.06897707,0.010647197
Mhalo,0.06858654,0.008840952
