Feature,Mean Importance,Std Dev
bulge,0.18221097,0.02616409
BHMass,0.16693322,0.0375906
avg_s_mass,0.15991862,0.018498814
bin_radii,0.1454764,0.025663968
Mhalo,0.14033751,0.026398508
s_mass,0.11333041,0.059610464
overdens,0.091792844,0.021687852
